City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,16.49,75,66,1.8,ZA,1704670502
1,weno,7.4515,151.8468,28.35,69,89,9.35,FM,1704670502
2,ushuaia,-54.8,-68.3,9.81,53,40,7.72,AR,1704670166
3,newala kisimani,-10.95,39.2833,20.8,90,100,1.22,TZ,1704670503
4,west island,-12.1568,96.8225,26.99,83,75,7.2,CC,1704670503
5,ancud,-41.8697,-73.8203,13.82,84,56,3.49,CL,1704670503
6,stanley,54.868,-1.6985,2.1,96,40,1.54,GB,1704670459
7,gubkinskiy,64.434,76.5026,-20.61,94,100,4.22,RU,1704670503
8,port-aux-francais,-49.35,70.2167,7.85,94,98,14.74,TF,1704670503
9,longyearbyen,78.2186,15.6401,-17.09,60,75,6.17,SJ,1704670503
10,grytviken,-54.2811,-36.5092,5.49,74,35,0.88,GS,1704670503
11,tazovsky,67.4667,78.7,-25.53,100,45,3.19,RU,1704670503
12,lihue,21.9789,-159.3672,27.42,67,100,6.17,US,1704670504
13,hawaiian paradise park,19.5933,-154.9731,25.02,90,75,5.14,US,1704670504
14,invercargill,-46.4,168.35,19.45,72,100,0.89,NZ,1704670131
15,ribeira grande,38.5167,-28.7,15.99,73,78,5.81,PT,1704670504
16,margaret river,-33.95,115.0667,22.22,59,93,2.14,AU,1704670504
17,chui,-33.6971,-53.4616,19.84,97,100,3.88,UY,1704670504
18,khair,27.95,77.8333,6.6,55,0,1.51,IN,1704670504
19,aoulef,26.9667,1.0833,15.82,26,80,3.02,DZ,1704670504
20,guaitarilla,1.1386,-77.553,11.88,94,96,1.94,CO,1704670504
21,namibe,-15.1961,12.1522,22.5,82,100,2.57,AO,1704670504
22,adamstown,-25.066,-130.1015,22.49,74,100,6.19,PN,1704670505
23,yuzhno-kurilsk,44.0306,145.8556,-1.46,79,83,7.05,RU,1704670505
24,lompoc,34.6391,-120.4579,14.96,45,0,7.72,US,1704670505
